machine	l_m	l	m	cpu_cores	repetition	init_seconds	query_seconds	queries_per_second	queries_per_second_per_cpu_core	total_queries	max_resident_megabytes	user_seconds	system_seconds	elapsed_seconds
server	l31_m36	l31	m36	24	7	0.97	75.34	955616.91	39817.37	72000000	40170.33	3453.37	13.93	76.71
server	l30_m36	l30	m36	24	0	0.77	81.22	886470.25	36936.26	72000000	31977.58	3701.45	13.44	82.30
server	l30_m36	l30	m36	24	1	0.77	81.69	881337.67	36722.40	72000000	31984.22	3699.70	13.65	82.78
server	l30_m36	l30	m36	24	2	0.77	80.72	892005.40	37166.89	72000000	31984.43	3694.23	13.47	81.80
server	l30_m36	l30	m36	24	3	0.77	80.98	889141.36	37047.56	72000000	31976.49	3699.70	13.43	82.06
server	l30_m36	l30	m36	24	4	0.77	81.40	884477.42	36853.23	72000000	31977.54	3701.18	13.64	82.49
server	l30_m36	l30	m36	24	5	0.77	81.37	884836.12	36868.17	72000000	31977.38	3703.69	13.77	82.46
server	l30_m36	l30	m36	24	6	0.77	81.23	886393.85	36933.08	72000000	31977.37	3699.62	13.54	82.31
server	l30_m36	l30	m36	24	7	0.77	81.00	888834.02	37034.75	72000000	31977.06	3700.15	13.40	82.08
server	l29_m36	l29	m36	24	0	0.66	88.16	816696.92	34029.04	72000000	27869.44	4004.45	13.71	89.10
server	l29_m36	l29	m36	24	1	0.68	88.20	816317.28	34013.22	72000000	27891.40	4004.32	13.64	89.15
server	l29_m36	l29	m36	24	2	0.66	88.50	813522.55	33896.77	72000000	27892.55	4004.34	13.81	89.43
server	l29_m36	l29	m36	24	3	0.66	88.70	811688.31	33820.35	72000000	27889.50	4010.03	13.47	89.64
server	l29_m36	l29	m36	24	4	0.66	88.58	812787.86	33866.16	72000000	27892.32	4004.51	13.23	89.52
server	l29_m36	l29	m36	24	5	0.66	88.42	814258.57	33927.44	72000000	27879.66	4006.45	13.21	89.35
server	l29_m36	l29	m36	24	6	0.66	88.17	816604.29	34025.18	72000000	27871.01	4006.10	13.29	89.11
server	l29_m36	l29	m36	24	7	0.66	88.55	813099.94	33879.16	72000000	27871.75	4007.50	13.45	89.49
server	l29_m35	l29	m35	24	0	0.55	97.14	741160.12	30881.67	72000000	23799.43	4397.85	13.25	97.93
server	l29_m35	l29	m35	24	1	0.56	97.13	741289.84	30887.08	72000000	23788.58	4395.20	13.17	97.92
server	l29_m35	l29	m35	24	2	0.55	96.75	744193.74	31008.07	72000000	23783.97	4395.77	13.35	97.54
server	l29_m35	l29	m35	24	3	0.56	96.62	745148.77	31047.87	72000000	23783.33	4398.00	13.20	97.41
server	l29_m35	l29	m35	24	4	0.56	97.93	735241.56	30635.06	72000000	23780.56	4397.14	13.13	98.71
server	l29_m35	l29	m35	24	5	0.56	97.46	738757.04	30781.54	72000000	23794.30	4395.30	12.95	98.25
server	l29_m35	l29	m35	24	6	0.56	96.51	746005.76	31083.57	72000000	23783.82	4393.85	13.38	97.31
server	l29_m35	l29	m35	24	7	0.56	96.62	745187.33	31049.47	72000000	23790.31	4393.31	13.22	97.40
server	l29_m34	l29	m34	24	0	0.51	113.27	635626.89	26484.45	72000000	21733.71	5176.68	12.99	113.99
server	l29_m34	l29	m34	24	1	0.50	113.18	636160.42	26506.68	72000000	21741.51	5177.59	13.07	113.89
server	l29_m34	l29	m34	24	2	0.51	113.67	633390.22	26391.26	72000000	21733.46	5177.93	13.15	114.39
server	l29_m34	l29	m34	24	3	0.51	114.44	629139.65	26214.15	72000000	21745.35	5177.14	13.22	115.15
server	l29_m34	l29	m34	24	4	0.50	113.03	636982.12	26540.92	72000000	21741.89	5173.16	13.21	113.75
server	l29_m34	l29	m34	24	5	0.51	114.37	629530.21	26230.43	72000000	21732.75	5175.94	13.21	115.08
server	l29_m34	l29	m34	24	6	0.51	113.29	635509.07	26479.54	72000000	21744.39	5173.35	13.12	114.01
server	l29_m34	l29	m34	24	7	0.50	113.46	634590.47	26441.27	72000000	21741.85	5175.48	13.21	114.17
